"Net migration rate (per 1,000 people)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"38"," Slovakia","-1.4","","-0.6","","-0.1","","0.0","","-0.3","","0.4"," a"
"25"," Slovenia","3.3","","-1.7","","0.1","","1.5","","3.9","","1.6"," a"
"152"," Solomon Islands","-1.3","","-0.6","","-0.4","","-2.2","","-4.8","","-4.3"," a"
"n.a"," Somalia","-11.3","","-21.4","","-2.4","","-3.8","","-3.3","","-3.5"," a"
"113"," South Africa","-0.7","","3.7","","1.4","","2.5","","2.5","","3.0"," a"
"187"," South Sudan","-14.4","","-38.3","","13.2","","11.7","","17.3","","7.7"," a"
"26"," Spain","-0.3"," m","1.6"," m","4.5"," m","13.4"," m","9.9"," m","-2.4"," a,m"
"76"," Sri Lanka","-1.6","","-2.9","","-5.0","","-4.7","","-5.2","","-4.7"," a"
"167"," Sudan","1.6","","5.9","","-4.9","","-3.8","","-6.6","","-3.2"," a"
"100"," Suriname","-2.5","","-2.4","","-4.4","","-3.8","","-2.5","","-1.9"," a"
"7"," Sweden","3.2","","3.6","","1.3","","3.2","","5.7","","5.3"," a"
"2"," Switzerland","4.0","","7.2","","1.8","","5.1","","9.1","","9.8"," a"
"155"," Syrian Arab Republic","-2.5","","-1.0","","-1.7","","-4.4","","3.8","","-41.8"," a"
"127"," Tajikistan","-2.8","","-10.5","","-9.8","","-2.5","","-2.0","","-2.5"," a"
"154"," Tanzania (United Republic of)","0.6"," n","4.3"," n","-1.3"," n","-1.6"," n","-1.2"," n","-0.8"," a,n"
"83"," Thailand","1.9","","-2.1","","2.3","","1.2","","0.2","","0.5"," a"
"80"," The former Yugoslav Republic of Macedonia","-9.9","","-10.1","","-0.5","","-1.4","","-0.7","","-0.9"," a"
"132"," Timor-Leste","-1.4","","-1.0","","-35.8","","0.8","","-17.6","","-8.5"," a"
"165"," Togo","-1.1","","-4.7","","3.5","","-0.4","","-0.3","","-0.3"," a"
"98"," Tonga","-23.1","","-23.2","","-17.9","","-16.3","","-16.0","","-15.3"," a"
"69"," Trinidad and Tobago","-7.5","","-5.2","","-5.2","","-2.1","","-1.7","","-0.7"," a"
"95"," Tunisia","1.3","","3.2","","-0.8","","-2.8","","-0.6","","-1.2"," a"
